POSTAL_CODE,PROV_DISTRICT_ID
E1A1E1,20
E1A1E1,19
E1A7A7,19
E1A7A7,20
E1C1B9,22
E1C1B9,21
E1C1C2,22
E1C1C2,21
E1E1B8,24
E1E1B8,25
E1E1B9,24
E1E1B9,25
E1H1T5,16
E1H1T5,19
E1N1E1,12
E1N1E1,11
E1N1E2,11
E1N1E2,12
E1N1G4,12
E1N1G4,11
E1N1G9,12
E1N1G9,11
E1N4R6,11
E1N4R6,12
E1N4R7,11
E1N4R7,12
E1V3G3,12
E1V3G3,11
E1V4T4,10
E1V4T4,12
E1V5Y4,10
E1V5Y4,12
E1V6S2,12
E1V6S2,10
E1V6S3,12
E1V6S3,10
E2A1Z5,4
E2A1Z5,5
E2A4K6,4
E2A4K6,5
E2A6X4,4
E2A6X4,5
E2E1A1,30
E2E1A1,32
E2E1A2,30
E2E1A2,32
E2E1W8,32
E2E1W8,30
E2E1X2,30
E2E1X2,32
E2E1X3,32
E2E1X3,30
E2J1Z6,31
E2J1Z6,33
E2J3V2,33
E2J3V2,31
E2J3V4,33
E2J3V4,31
E2J4R8,33
E2J4R8,31
E2J4R9,33
E2J4R9,31
E2K1T9,34
E2K1T9,35
E2M1M6,34
E2M1M6,36
E2M5H6,36
E2M5H6,37
E2M5J1,37
E2M5J1,36
E2S1C4,32
E2S1C4,30
E2S2W2,32
E2S2W2,30
E2S3A8,30
E2S3A8,32
E3A3L9,42
E3A3L9,43
E3A3M1,43
E3A3M1,42
E3B6Z2,44
E3B6Z2,45
E3B7H9,44
E3B7H9,45
E3C1L8,46
E3C1L8,45
E3E1A4,47
E3E1A4,45
E3N5M7,2
E3N5M7,1
E3V3T2,54
E3V3T2,55
E3V3T6,54
E3V3T6,55
E3Z1X9,52
E3Z1X9,51
E4G1E8,25
E4G1E8,28
E4G2K9,25
E4G2K9,28
E4G2L9,28
E4G2L9,25
E4G3B2,25
E4G3B2,28
E4J1H5,25
E4J1H5,27
E4L1Z5,18
E4L1Z5,17
E4T2K7,16
E4T2K7,15
E4W5T1,14
E4W5T1,15
E4W5T3,14
E4W5T3,15
E5J1L3,37
E5J1L3,38
E5K4B9,37
E5K4B9,46
E5N3Y2,32
E5N3Y2,29
E5T1B7,28
E5T1B7,29
E5T2H7,29
E5T2H7,28
E5T2H8,28
E5T2H8,29
E5T2K6,28
E5T2K6,29
E7C1H1,54
E7C1H1,55
E7C1Z3,55
E7C1Z3,54
E7C2A7,55
E7C2A7,54
E7C2A8,55
E7C2A8,54
E7C2J8,54
E7C2J8,55
E7C2J9,54
E7C2J9,55
E7C2K7,54
E7C2K7,55
E7C3A1,53
E7C3A1,55
E7J1S3,51
E7J1S3,50
E7M5M2,49
E7M5M2,50
E7N1T5,49
E7N1T5,50
E8M1S4,8
E8M1S4,9
